,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3051,0.0046,0.0028,0.0018,0.0035,0.0028,0.0,0.0034,0.018,0.0165,0.018,0.0,0.0,0.0065,0.0126,0.0004
Cassava,0.0391,0.2395,0.1054,0.012,0.0141,0.0132,0.0,0.024,0.0499,0.032,0.0373,0.0068,0.0,0.0027,0.0227,0.0026
Pineapple,0.0237,0.0853,0.3036,0.0079,0.0161,0.0124,0.0,0.0368,0.0374,0.0055,0.0248,0.0,0.0,0.001,0.0151,0.001
Para rubber,0.1744,0.3243,0.3404,0.8963,0.2875,0.3604,0.0,0.6159,0.2399,0.4707,0.3242,0.0959,0.5,0.0193,0.1603,0.291
Oil palm,0.0078,0.0119,0.015,0.0073,0.3964,0.0407,0.0,0.0522,0.0832,0.0667,0.0453,0.0342,0.0,0.0015,0.0044,0.0192
Durian,0.0036,0.0039,0.0025,0.0044,0.016,0.1463,0.0,0.0092,0.0111,0.0256,0.087,0.0205,0.0,0.0017,0.0063,0.0032
Rambutan,0.0001,0.0,0.0001,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002
Coconut,0.0011,0.0008,0.0011,0.0002,0.0014,0.0016,0.0,0.0098,0.0042,0.0018,0.0006,0.0,0.0,0.0001,0.0007,0.0002
Mango,0.0006,0.0028,0.0011,0.0003,0.0007,0.0008,0.0,0.0015,0.0416,0.0018,0.0012,0.0,0.0,0.0001,0.0038,0.0017
Longan,0.0001,0.0002,0.0001,0.0001,0.0006,0.0014,0.0,0.0003,0.0,0.0091,0.0,0.0137,0.0,0.0001,0.0004,0.0003
Jackfruit,0.0006,0.0007,0.0004,0.0002,0.0012,0.0031,0.0,0.0007,0.0,0.0027,0.0199,0.0,0.0,0.0001,0.0004,0.0003
Mangosteen,0.0007,0.0,0.0001,0.0001,0.0004,0.0015,0.0,0.0001,0.0,0.0018,0.0,0.0,0.0,0.0001,0.0007,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir,0.0148,0.0012,0.0025,0.0006,0.0051,0.0017,0.0,0.0025,0.0153,0.0027,0.0031,0.0,0.0,0.6436,0.0058,0.003
Others,0.4236,0.3219,0.2231,0.0599,0.1826,0.3955,0.0,0.2376,0.4619,0.3254,0.4248,0.6781,0.5,0.3169,0.7534,0.0994
Forest,0.0046,0.0027,0.0019,0.0089,0.074,0.0184,0.0,0.006,0.0374,0.0375,0.0137,0.1507,0.0,0.0064,0.0133,0.5769
