LU_ID_L1,LU_ID_L2,LU_ID_L3,LU_CODE,LU_DES_TH,LU_DES_EN,,,,"LU 1101: available=187474, sampled=5000", ตัวเมืองและย่านการค้า,LU_Code,Crop,
2,26,2603,A603    ,อ้อย(ไร่หมุนเวียน),Sugarcane(Shifting cultivation),,,,,,,,
2,26,2604,A604    ,มันสำปะหลัง(ไร่หมุนเวียน)   ,Cassava(Shifting cultivation),,,,,,,,
2,26,2605,A605    ,สับปะรด(ไร่หมุนเวียน)  ,Pineapple(Shifting cultivation),,,,,,,,
2,26,2606,A606    ,ยาสูบ(ไร่หมุนเวียน)  ,Tobacco(Shifting cultivation),,,,,,,,
2,26,2607,A607   ,ฝ้าย(ไร่หมุนเวียน)  ,Cotton(Shifting cultivation),,,,,,,,
2,26,2608,A608    ,ถั่วเขียว(ไร่หมุนเวียน)    ,Mungbean(Shifting cultivation),,,,,,,,
2,26,2609,A609   ,ถั่วเหลือง(ไร่หมุนเวียน)     ,Soybean(Shifting cultivation),,,,,,,,
2,26,2610,A610    ,ถั่วลิสง(ไร่หมุนเวียน)   ,Peanut(Shifting cultivation),,,,,,,,
2,26,2611,A611    ,ปอแก้ว ปอกระเจา(ไร่หมุนเวียน),"Kenaf, Jute(Shifting cultivation)",,,,,,,,
2,26,2612,A612    ,ถั่วดำ ถั่วแดง(ไร่หมุนเวียน)  ,"Black bean, Red bean(Shifting cultivation)",,,,,,,,
2,26,2613,A613    ,ข้าวฟ่าง(ไร่หมุนเวียน)    ,Sorghum(Shifting cultivation),,,,,,,,
2,26,2614,A614    ,ละหุ่ง(ไร่หมุนเวียน)    ,Castor bean(Shifting cultivation),,,,,,,,
2,26,2615,A615    ,งา(ไร่หมุนเวียน)     ,Sesame(Shifting cultivation),,,,,,,,
2,26,2616,A616    ,ข้าวไร่(ไร่หมุนเวียน)    ,Upland rice(Shifting cultivation),,,,,,,,
2,26,2617,A617    ,มันฝรั่ง(ไร่หมุนเวียน)    ,Potato(Shifting cultivation),,,,,,,,
2,26,2618,A618    ,มันแกว(ไร่หมุนเวียน)     ,Jam potato(Shifting cultivation),,,,,,,,
2,26,2619,A619    ,มันเทศ(ไร่หมุนเวียน)    ,Sweet potato(Shifting cultivation),,,,,,,,
2,26,2620,A620    ,แตงโม(ไร่หมุนเวียน)    ,Watermelon(Shifting cultivation),,,,,,,,
2,26,2621,A621    ,ลูกเดือย(ไร่หมุนเวียน)    ,Millet(Shifting cultivation),,,,,,,,
2,26,2622,A622    ,ขิง(ไร่หมุนเวียน)             ,Ginger(Shifting cultivation),,,,,,,,
2,26,2623,A623    ,กะหล่ำปลี(ไร่หมุนเวียน)  ,Cabbage(Shifting cultivation),,,,,,,,
2,26,2624,A624    ,มะเขือเทศ(ไร่หมุนเวียน)   ,Tomato(Shifting cultivation),,,,,,,,
2,26,2625,A625   ,ว่านหางจระเข้(ไร่หมุนเวียน)    ,Aloe vera(Shifting cultivation),,,,,,,,
2,26,2626,A626   ,ป่านศรนารายณ์(ไร่หมุนเวียน)    ,Agave(Shifting cultivation),,,,,,,,
2,26,2627,A627   ,ปอสา(ไร่หมุนเวียน)   ,Paper mulberry(Shifting cultivation),,,,,,,,
2,26,2628,A628   ,ทานตะวัน(ไร่หมุนเวียน)   ,Sunflower(Shifting cultivation),,,,,,,,
2,26,2629,A629    ,พริก(ไร่หมุนเวียน)     ,Chili(Shifting cultivation),,,,,,,,
2,26,2630,A630    ,ข้าวสาลี(ไร่หมุนเวียน)       ,Wheat(Shifting cultivation),,,,,,,,
2,26,2631,A631  ,ข้าวบาร์เลย์(ไร่หมุนเวียน)       ,Barley(Shifting cultivation),,,,,,,,
2,26,2632,A632    ,ข้าวไรย์(ไร่หมุนเวียน)       ,Rye(Shifting cultivation),,,,,,,,
2,26,2633,A633   ,ฝิ่น(ไร่หมุนเวียน)       ,Opium(Shifting cultivation),,,,,,,,
2,26,2634,A634   ,กัญชา กัญชง(ไร่หมุนเวียน)     ,"Marihuana, Hemp(Shifting cultivation)",,,,,,,,
2,26,2635,A635    ,กระเจี๊ยบแดง(ไร่หมุนเวียน)     ,Roselle(Shifting cultivation),,,,,,,,
2,26,2636,A636    ,เผือก(ไร่หมุนเวียน)      ,Taro(Shifting cultivation),,,,,,,,
2,27,2700,A700,โรงเรือนร้าง,Abandoned farm house,,,,,,,,
2,27,2701,A701   ,ทุ่งหญ้าเลี้ยงสัตว์  ,Pasture,,,,,,,,
2,27,2702,A702    ,โรงเรือนเลี้ยงโค กระบือ และม้า,Cattle farm house,,,,,,,,
2,27,2703,A703    ,โรงเรือนเลี้ยงสัตว์ปีก ,Poultry  farm house,,,,,,,,
2,27,2704,A704    ,โรงเรือนเลี้ยงสุกร ,Swine farm house,,,,,,,,
2,28,2801,A801     ,พืชน้ำผสม  ,Mixed aquatic plant,,,,,,,,
2,28,2802,A802      ,กก  ,Reed,,,,,,,,
2,28,2803,A803     ,บัว  ,Lotus,,,,,,,,
2,28,2804,A804     ,กระจับ  ,Water caltrop,,,,,,,,
2,28,2805,A805    ,แห้ว ,Water chestnut ,,,,,,,,
2,28,2806,A806    ,ผักบุ้ง  ,Water spinach,,,,,,,,
2,28,2807,A807     ,ผักกะเฉด  ,Water mimosa,,,,,,,,
2,29,2900,A900     ,สถานที่เพาะเลี้ยงสัตว์น้ำร้าง ,Abandoned aquacultural land,,,,,,,,
2,29,2901,A901     ,สถานที่เพาะเลี้ยงสัตว์น้ำผสม ,Mixed aquacultural land,,,,,,,,
2,29,2902,A902     ,สถานที่เพาะเลี้ยงปลา ,Fish farm,,,,,,,,
2,29,2903,A903     ,สถานที่เพาะเลี้ยงกุ้ง ,Shrimp farm,,,,,,,,
2,29,2904,A904    ,สถานที่เพาะเลี้ยงปู หอย ,Crab/Shellfish farm,,,,,,,,
2,29,2905,A905     ,ฟาร์มจระเข้  ,Crocodile farm,,,,,,,,
2,20,2001,A001,เกษตรผสมผสาน/ไร่นาสวนผสม,Integrated farm/Diversified farm,,,,,,,,
3,31,3100,F100   ,ป่าไม่ผลัดใบรอสภาพฟื้นฟู  ,Disturbed evergreen forest,,,,,,,,
3,31,3101,F101   ,ป่าไม่ผลัดใบสมบูรณ์  ,Dense evergreen forest,,,,,,,,
3,32,3200,F200    ,ป่าผลัดใบรอสภาพฟื้นฟู  ,Disturbed deciduous forest,,,,,,,,
3,32,3201,F201,ป่าผลัดใบสมบูรณ์  ,Dense deciduous forest,,,,,,,,
3,33,3300,F300   ,ป่าชายเลนรอสภาพฟื้นฟู  ,Disturbed mangrove  forest,,,,,,,,
3,33,3301,F301    ,ป่าชายเลนสมบูรณ์  ,Dense mangrove  forest,,,,,,,,
3,34,3400,F400    ,ป่าพรุรอสภาพฟื้นฟู  ,Disturbed swamp forest,,,,,,,,
3,34,3401,F401   ,ป่าพรุสมบูรณ์  ,Dense swamp forest,,,,,,,,
3,35,3500,F500    ,ป่าปลูกรอสภาพฟื้นฟู  ,Disturbed forest plantation,,,,,,,,
3,35,3501,F501   ,ป่าปลูกสมบูรณ์  ,Dense forest plantation,,,,,,,,
3,36,3600,F600    ,วนเกษตรรอสภาพฟื้นฟู  ,Disturbed agro-forestry,,,,,,,,
3,36,3601,F601   ,วนเกษตรสมบูรณ์  ,Dense agro-forestry,,,,,,,,
3,37,3700,F700    ,ป่าชายหาดรอสภาพฟื้นฟู  ,Disturbed beach forest,,,,,,,,
3,37,3701,F701   ,ป่าชายหาดสมบูรณ์  ,Dense beach forest,,,,,,,,
4,41,4101,W101     ,แม่น้ำ ลำห้วย ลำคลอง,"River, Canal",,,,,,,,
4,41,4102,W102    ,หนอง บึง ทะเลสาบ,"Lake, Lagoon",,,,,,,,
4,41,4103,W103,ทะเล,Ocean,,,,,,,,
4,42,4201,W201    ,อ่างเก็บน้ำ ,Reservoir,,,,,,,,
4,42,4202,W202     ,บ่อน้ำในไร่นา  ,Farm pond,,,,,,,,
4,42,4203,W203     ,คลองชลประทาน ,Irrigation canal,,,,,,,,
5,51,5101,M101     ,ทุ่งหญ้าธรรมชาติ  ,Grass,,,,,,,,
5,51,5102,M102     ,ทุ่งหญ้าสลับไม้พุ่ม/ไม้ละเมาะ,Shrubland,,,,,,,,
5,51,5103,M103     ,ไผ่ป่า ไผ่หนาม,Giant thorny bamboo,,,,,,,,
5,52,5201,M201,พื้นที่ลุ่ม,Marsh and Swamp,,,,,,,,
5,53,5300,M300     ,เหมืองเก่า บ่อขุดเก่า,"Abandoned mine, Pit",,,,,,,,
5,53,5301,M301    ,เหมืองแร่  ,Mine,,,,,,,,
5,53,5302,M302    ,บ่อลูกรัง   ,Laterite pit,,,,,,,,
5,53,5303,M303          ,บ่อทราย   ,Sand pit,,,,,,,,
5,53,5304,M304     ,บ่อดิน ,Soil pit,,,,,,,,
5,53,5305,M305     ,พื้นที่ขุดเจาะน้ำมัน,Oil field,,,,,,,,
5,54,5401,M401,พื้นที่กองวัสดุ,Material dump,,,,,,,,
5,54,5402,M402,พื้นที่ดินถล่ม,Landslide,,,,,,,,
5,54,5403,M403     ,ที่หินโผล่  ,Rock out crop,,,,,,,,
5,54,5404,M404, -, -,,,,,,,,
5,54,5405,M405    ,พื้นที่ถม   ,Landfill,,,,,,,,
5,55,5500,M500,นาเกลือร้าง,Abandoned salt flat,,,,,,,,
5,55,5501,M501,นาเกลือ,Salt flat,,,,,,,,
5,56,5601,M601,หาดทราย  ,Beach,,,,,,,,
5,57,5701,M701,ที่ทิ้งขยะ      ,Garbage dump  ,,,,,,,,
